DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
CONTENT CREATED/UPLOADED,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
