DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
DATE OF BIRTH,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,29
DEMOGRAPHICS,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,25
DEMOGRAPHICS,NON-PERSONAL DATA,ANYONE,THIRD PARTY,APPLE,46,28
DEMOGRAPHICS,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,20
DEMOGRAPHICS,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,21
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,FACEBOOK,46,29
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,25
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE",35,11
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE",35,13
DEVICE IDENTIFIERS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,FACEBOOK,GOOGLE",35,18
DEVICE IDENTIFIERS,DEVICE INFO,ANYONE,THIRD PARTY,"AMAZON,APPLE",35,28
DEVICE IDENTIFIERS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,20
DEVICE IDENTIFIERS,DEVICE INFO,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE",35,14
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",35,15
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",35,19
DEVICE IDENTIFIERS,DEVICE INFO,OTHER,ADVERTISING,"AMAZON,APPLE,GOOGLE",35,12
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",35,16
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS,"AMAZON,APPLE",35,17
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",35,26
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,35,27
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,21
DEVICE IDENTIFIERS,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE",35,22
DEVICE IDENTIFIERS,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,AMAZON,35,24
DEVICE IDENTIFIERS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON,35,23
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK",35,29
DEVICE INFO,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,25
DEVICE INFO,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,11
DEVICE INFO,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,13
DEVICE INFO,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,18
DEVICE INFO,DEVICE INFO,ANYONE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,28
DEVICE INFO,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,20
DEVICE INFO,DEVICE INFO,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,14
