DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
DEVICE INFO,DEVICE INFO,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,12
DEVICE INFO,DEVICE INFO,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,10
DEVICE INFO,DEVICE INFO,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,24
DEVICE SETTINGS,DEVICE INFO,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,28
DEVICE SETTINGS,DEVICE INFO,RESEARCH AND DEVELOPMENT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,23
DEVICE SETTINGS,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,21
DEVICE SETTINGS,DEVICE INFO,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,20
DEVICE SETTINGS,DEVICE INFO,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,22
DEVICE SETTINGS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,26
DEVICE SETTINGS,DEVICE INFO,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,25
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,16
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE CONTENT,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,15
DEVICE SETTINGS,DEVICE INFO,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,11
DEVICE SETTINGS,DEVICE INFO,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,18
DEVICE SETTINGS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,14
