DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
DEMOGRAPHICS,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
DEMOGRAPHICS,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
DEMOGRAPHICS,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
DEMOGRAPHICS,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
DEMOGRAPHICS,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,ADVERTISING,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ANALYTICS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,THIRD PARTY,ZOOM
DEVICE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
DEVICE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,ZOOM
DEVICE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,ZOOM
